team,year,player,contract_years_remaining,contract_thru,position,full_name,salary_year,salary_total,year_counter,obs,mean_salary,mean_remaining
"Indiana Pacers","2004-05","Foster, Jeff",6,"2008-09","C-F","Jeff Foster",4500000,30000000,4,8,4013467,6.25
"Indiana Pacers","2005-06","Foster, Jeff",6,"2008-09","C-F","Jeff Foster",4750000,30000000,5,8,4013467,6.25
"Indiana Pacers","2006-07","Foster, Jeff",6,"2008-09","C-F","Jeff Foster",5500000,30000000,6,8,4013467,6.25
"Indiana Pacers","2007-08","Foster, Jeff",6,"2008-09","C/PF","Jeff Foster",5500000,30000000,7,8,4013467,6.25
"Indiana Pacers","2008-09","Foster, Jeff",6,"2008-09","C","Jeff Foster",5500000,30000000,8,8,4013467,6.25
"Seattle SuperSonics","2007-08","Green, Jeff",5,"2010-11","SF","Jeff Green",3058200,15768441,1,2,3171420,5
"Oklahoma City Thunder","2008-09","Green, Jeff",5,"2010-11","F","Jeff Green",3284640,15768441,2,2,3171420,5
"Los Angeles Clippers","2001-02","McInnis, Jeff",3,"2001-02","G","Jeff McInnis",590850,1570000,1,7,2608780,2.285714
"Portland Trail Blazers","2002-03","McInnis, Jeff",3,"2004-05","G","Jeff McInnis",3000000,9000000,2,7,2608780,2.285714
"Portland Trail Blazers","2003-04","McInnis, Jeff",3,"2004-05","G","Jeff McInnis",3300000,9000000,3,7,2608780,2.285714
"Cleveland Cavaliers","2004-05","McInnis, Jeff",3,"2004-05","G","Jeff McInnis",3600000,9000000,4,7,2608780,2.285714
"New Jersey Nets","2005-06","McInnis, Jeff",2,"2006-07 (p)","G","Jeff McInnis",3400000,7000000,5,7,2608780,2.285714
"Charlotte Bobcats","2006-07","McInnis, Jeff",1,"2006-07","G","Jeff McInnis",3600000,3600000,6,7,2608780,2.285714
"Charlotte Bobcats","2007-08","McInnis, Jeff",1,"2007-08","PG","Jeff McInnis",770610,770610,7,7,2608780,2.285714
"Cleveland Cavaliers","2001-02","Trepagnier, Jeff",2,"2002-03","G","Jeff Trepagnier",332817,845252,1,2,485908.5,1.5
"Denver Nuggets","2003-04","Trepagnier, Jeff",1,"2003-04","G","Jeff Trepagnier",639000,639000,2,2,485908.5,1.5
"Los Angeles Lakers","2001-02","McCoy, Jelani",1,"2001-02","C","Jelani McCoy",540850,540850,1,4,520896.5,1
"Toronto Raptors","2002-03","McCoy, Jelani",1,"2002-03","C","Jelani McCoy",637435,637435,2,4,520896.5,1
"Cleveland Cavaliers","2003-04","McCoy, Jelani",1,"2003-04","C","Jelani McCoy",751179,751179,3,4,520896.5,1
"Denver Nuggets","2007-08","McCoy, Jelani",1,"2007-08","P/F","Jelani McCoy",154122,154122,4,4,520896.5,1
"Atlanta Hawks","2007-08","Richardson, Jeremy",1,"2007-08","F","Jeremy Richardson",305798,305798,1,2,537614.5,1
"Orlando Magic","2008-09","Richardson, Jeremy",1,"2007-08","G-F","Jeremy Richardson",769431,305798,2,2,537614.5,1
"Atlanta Hawks","2002-03","Jackson, Jermaine",1,"2002-03","G","Jermaine Jackson",587435,587435,1,2,679279,1
"Milwaukee Bucks","2005-06","Jackson, Jermaine",1,"2005-06","G","Jermaine Jackson",771123,771123,2,2,679279,1
"Indiana Pacers","2001-02","O'Neal, Jermaine",4,"2002-03","F-C","Jermaine O'Neal",6325000,25000000,1,8,1.46e+07,6.25
"Indiana Pacers","2002-03","O'Neal, Jermaine",4,"2002-03","F-C","Jermaine O'Neal",6900000,25000000,2,8,1.46e+07,6.25
"Indiana Pacers","2003-04","O'Neal, Jermaine",7,"2009-10","F-C","Jermaine O'Neal",13140000,1.266e+08,3,8,1.46e+07,6.25
"Indiana Pacers","2004-05","O'Neal, Jermaine",7,"2007-08 (p)","F-C","Jermaine O'Neal",14796000,1.266e+08,4,8,1.46e+07,6.25
"Indiana Pacers","2005-06","O'Neal, Jermaine",7,"2007-08 (p)","C-F","Jermaine O'Neal",16430000,1.266e+08,5,8,1.46e+07,6.25
"Indiana Pacers","2006-07","O'Neal, Jermaine",7,"2007-08 (p)","F-C","Jermaine O'Neal",18084000,1.266e+08,6,8,1.46e+07,6.25
"Indiana Pacers","2007-08","O'Neal, Jermaine",7,"2007-08 (p)","PF/C","Jermaine O'Neal",19728000,1.266e+08,7,8,1.46e+07,6.25
"Toronto Raptors","2008-09","O'Neal, Jermaine",7,"2007-08 (p)","C-F","Jermaine O'Neal",21372000,1.266e+08,8,8,1.46e+07,6.25
"Charlotte Bobcats","2007-08","Davidson, Jermareo",2,"2008-09","PF","Jermareo Davidson",427163,1138680,1,2,422851,2
"Golden State Warriors","2008-09","Davidson, Jermareo",2,"2008-09","F","Jermareo Davidson",418539,1138680,2,2,422851,2
"Miami Heat","2003-04","Beasley, Jerome",2,"2004-05 (t)","F","Jerome Beasley",366931,913137,1,1,366931,2
"Seattle SuperSonics","2001-02","James, Jerome",1,"2001-02","C","Jerome James",465850,465850,1,8,4676506,3.75
"Seattle SuperSonics","2002-03","James, Jerome",3,"2004-05","C","Jerome James",4546000,14990000,2,8,4676506,3.75
"Seattle SuperSonics","2003-04","James, Jerome",3,"2004-05","C","Jerome James",4545000,14990000,3,8,4676506,3.75
"Seattle SuperSonics","2004-05","James, Jerome",3,"2004-05","C","Jerome James",5455200,14990000,4,8,4676506,3.75
"New York Knicks","2005-06","James, Jerome",5,"2009-10 (p)","C","Jerome James",5000000,30000000,5,8,4676506,3.75
"New York Knicks","2006-07","James, Jerome",5,"2009-10 (p)","F-C","Jerome James",5400000,30000000,6,8,4676506,3.75
"New York Knicks","2007-08","James, Jerome",5,"2009-10 (p)","PF","Jerome James",5800000,30000000,7,8,4676506,3.75
"New York Knicks","2008-09","James, Jerome",5,"2009-10 (p)","C","Jerome James",6200000,30000000,8,8,4676506,3.75
"Charlotte Hornets","2001-02","Moiso, Jerome",4,"2003-04","F","Jerome Moiso",1571640,7030000,1,4,1165391,2.5
"New Orleans Hornets","2002-03","Moiso, Jerome",3,"2002-03","F","Jerome Moiso",1681200,4710000,2,4,1165391,2.5
"Toronto Raptors","2003-04","Moiso, Jerome",2,"2004-05","F","Jerome Moiso",663679,1410000,3,4,1165391,2.5
"Cleveland Cavaliers","2004-05","Moiso, Jerome",1,"2004-05","F","Jerome Moiso",745046,745046,4,4,1165391,2.5
"Toronto Raptors","2001-02","Williams, Jerome",7,"2007-08","F-C","Jerome Williams",5000000,40800000,1,4,5459375,7
"Toronto Raptors","2002-03","Williams, Jerome",7,"2006-07 (p)","F-C","Jerome Williams",5250000,40800000,2,4,5459375,7
"Toronto Raptors","2003-04","Williams, Jerome",7,"2007-08 (t)","F-C","Jerome Williams",5400000,40800000,3,4,5459375,7
"New York Knicks","2004-05","Williams, Jerome",7,"2007-08 (t)","F-C","Jerome Williams",6187500,40800000,4,4,5459375,7
"Detroit Pistons","2001-02","Stackhouse, Jerry",7,"2004-05","G-F","Jerry Stackhouse",5500000,37000000,1,8,7044922,4.5
"Washington Wizards","2002-03","Stackhouse, Jerry",7,"2002-03 (p)","G-F","Jerry Stackhouse",6375000,37000000,2,8,7044922,4.5
"Washington Wizards","2003-04","Stackhouse, Jerry",4,"2006-07","G-F","Jerry Stackhouse",6500000,33000000,3,8,7044922,4.5
"Dallas Mavericks","2004-05","Stackhouse, Jerry",4,"2006-07","G-F","Jerry Stackhouse",7437500,33000000,4,8,7044922,4.5
"Dallas Mavericks","2005-06","Stackhouse, Jerry",4,"2006-07","G-F","Jerry Stackhouse",7500000,33000000,5,8,7044922,4.5
"Dallas Mavericks","2006-07","Stackhouse, Jerry",4,"2006-07","F-G","Jerry Stackhouse",9296874,33000000,6,8,7044922,4.5
"Dallas Mavericks","2007-08","Stackhouse, Jerry",3,"2009-10","G","Jerry Stackhouse",6750000,21000000,7,8,7044922,4.5
"Dallas Mavericks","2008-09","Stackhouse, Jerry",3,"2009-10","G-F","Jerry Stackhouse",7000000,21000000,8,8,7044922,4.5
"Golden State Warriors","2007-08","Bayless, Jerryd",1,"2007-08","G","Jerryd Bayless",1000000,1000000,1,2,1496780,3
"Portland Trail Blazers","2008-09","Bayless, Jerryd",5,"2012-13","G","Jerryd Bayless",1993560,13636402,2,2,1496780,3
"Orlando Magic","2001-02","Sasser, Jeryl",4,"2004-05","G","Jeryl Sasser",901800,4610000,1,2,935640,4
"Orlando Magic","2002-03","Sasser, Jeryl",4,"2003-04 (t)","G","Jeryl Sasser",969480,4610000,2,2,935640,4
"Sacramento Kings","2002-03","Jackson, Jim",1,"2002-03","F-G","Jim Jackson",791341,791341,1,4,1643710,2
"Houston Rockets","2003-04","Jackson, Jim",3,"2005-06","F-G","Jim Jackson",2225000,7300000,2,4,1643710,2
"Phoenix Suns","2004-05","Jackson, Jim",3,"2005-06","F-G","Jim Jackson",2420000,7300000,3,4,1643710,2
"Los Angeles Lakers","2005-06","Jackson, Jim",1,"2005-06","F-G","Jim Jackson",1138500,1138500,4,4,1643710,2
"Golden State Warriors","2002-03","Welsch, Jiri",4,"2004-05 (t)","G","Jiri Welsch",1234080,6160000,1,4,1539199,4
"Boston Celtics","2003-04","Welsch, Jiri",4,"2005-06 (t)","G","Jiri Welsch",1326600,6160000,2,4,1539199,4
"Cleveland Cavaliers","2004-05","Welsch, Jiri",4,"2005-06 (t)","F","Jiri Welsch",1419000,6160000,3,4,1539199,4
"Milwaukee Bucks","2005-06","Welsch, Jiri",4,"2005-06","F","Jiri Welsch",2177114,6157000,4,4,1539199,4
"Chicago Bulls","2007-08","Noah, Joakim",5,"2011-12 (t)","PF","Joakim Noah",2135400,11115727,1,2,2215440,5
"Chicago Bulls","2008-09","Noah, Joakim",5,"2011-12 (t)","C-F","Joakim Noah",2295480,11115727,2,2,2215440,5
"Milwaukee Bucks","2008-09","Alexander, Joe",5,"2012-13","F","Joe Alexander",2403120,16003932,1,1,2403120,5
"Boston Celtics","2001-02","Johnson, Joe",4,"2004-05","G-F","Joe Johnson",1608840,7550000,1,8,7501561,4.5
"Phoenix Suns","2002-03","Johnson, Joe",4,"2003-04 (t)","G-F","Joe Johnson",1729560,7540000,2,8,7501561,4.5
"Phoenix Suns","2003-04","Johnson, Joe",4,"2004-05 (t)","G-F","Joe Johnson",1850000,7550000,3,8,7501561,4.5
"Phoenix Suns","2004-05","Johnson, Joe",4,"2004-05 (t)","G-F","Joe Johnson",2358954,7550000,4,8,7501561,4.5
"Atlanta Hawks","2005-06","Johnson, Joe",5,"2009-10","G","Joe Johnson",12000000,70000000,5,8,7501561,4.5
"Atlanta Hawks","2006-07","Johnson, Joe",5,"2009-10","G-F","Joe Johnson",12744190,70000000,6,8,7501561,4.5
"Atlanta Hawks","2007-08","Johnson, Joe",5,"2009-10","G","Joe Johnson",13488378,70000000,7,8,7501561,4.5
"Atlanta Hawks","2008-09","Johnson, Joe",5,"2009-10","G","Joe Johnson",14232566,70000000,8,8,7501561,4.5
"Minnesota Timberwolves","2001-02","Smith, Joe",6,"2006-07","F","Joe Smith",4538000,34040000,1,8,5504025,5
"Minnesota Timberwolves","2002-03","Smith, Joe",6,"2006-07","F","Joe Smith",4991800,34040000,2,8,5504025,5
"Milwaukee Bucks","2003-04","Smith, Joe",6,"2006-07","F","Joe Smith",5446000,34040000,3,8,5504025,5
"Milwaukee Bucks","2004-05","Smith, Joe",6,"2006-07","F","Joe Smith",5899400,34035000,4,8,5504025,5
"Milwaukee Bucks","2005-06","Smith, Joe",6,"2006-07","F","Joe Smith",6350000,34035000,5,8,5504025,5
"Philadelphia 76ers","2006-07","Smith, Joe",6,"2006-07","F","Joe Smith",6807000,34035000,6,8,5504025,5
"Cleveland Cavaliers","2007-08","Smith, Joe",2,"2008-09","","Joe Smith",5205000,10000000,7,8,5504025,5
"Oklahoma City Thunder","2008-09","Smith, Joe",2,"2008-09","F","Joe Smith",4795000,10000000,8,8,5504025,5
"Miami Heat","2007-08","Anthony, Joel",3,"2009-10","C","Joel Anthony",427163,1138680,1,2,569340,3
"Miami Heat","2008-09","Anthony, Joel",3,"2009-10","C","Joel Anthony",711517,1138680,2,2,569340,3
"Milwaukee Bucks","2001-02","Przybilla, Joel",4,"2003-04","C","Joel Przybilla",1741440,4000000,1,8,3290631,3.875
"Milwaukee Bucks","2002-03","Przybilla, Joel",4,"2002-03 (t)","C","Joel Przybilla",1862880,7600000,2,8,3290631,3.875
"Milwaukee Bucks","2003-04","Przybilla, Joel",4,"2003-04","C","Joel Przybilla",2373000,7600000,3,8,3290631,3.875
"Portland Trail Blazers","2004-05","Przybilla, Joel",2,"2005-06","C","Joel Przybilla",1500000,3000000,4,8,3290631,3.875
"Portland Trail Blazers","2005-06","Przybilla, Joel",2,"2005-06","C","Joel Przybilla",1560000,3000000,5,8,3290631,3.875
"Portland Trail Blazers","2006-07","Przybilla, Joel",5,"2010-11","C","Joel Przybilla",5215000,32000000,6,8,3290631,3.875
"Portland Trail Blazers","2007-08","Przybilla, Joel",5,"2010-11","C","Joel Przybilla",5762575,32000000,7,8,3290631,3.875
"Portland Trail Blazers","2008-09","Przybilla, Joel",5,"2010-11","C","Joel Przybilla",6310150,32000000,8,8,3290631,3.875
"Portland Trail Blazers","2007-08","Dorsey, Joey",3,"2009-10","F","Joey Dorsey",8250000,26250000,1,3,6022167,3.333333
"Memphis Grizzlies","2008-09","Dorsey, Joey",3,"2009-10","F","Joey Dorsey",9000000,26250000,2,3,6022167,3.333333
"Houston Rockets","2008-09","Dorsey, Joey",4,"2011-12","F","Joey Dorsey",816500,3657920,3,3,6022167,3.333333
"Toronto Raptors","2005-06","Graham, Joey",4,"2008-09 (t)","F","Joey Graham",1390000,6930000,1,4,1732056,4
"Toronto Raptors","2006-07","Graham, Joey",4,"2008-09 (t)","F","Joey Graham",1492440,6930000,2,4,1732056,4
"Toronto Raptors","2007-08","Graham, Joey",4,"2008-09 (t)","SF","Joey Graham",1596600,6930000,3,4,1732056,4
"Toronto Raptors","2008-09","Graham, Joey",4,"2008-09 (t)","F","Joey Graham",2449184,6930000,4,4,1732056,4
"Seattle SuperSonics","2005-06","Petro, Johan",4,"2008-09 (t)","C","Johan Petro",936600,4960000,1,4,1240103,4
"Seattle SuperSonics","2006-07","Petro, Johan",4,"2008-09 (t)","C","Johan Petro",1006800,4960000,2,4,1240103,4
"Seattle SuperSonics","2007-08","Petro, Johan",4,"2008-09 (t)","C","Johan Petro",1077120,4960000,3,4,1240103,4
"Denver Nuggets","2008-09","Petro, Johan",4,"2008-09 (t)","C","Johan Petro",1939893,4960000,4,4,1240103,4
"Utah Jazz","2001-02","Amaechi, John",4,"2004-05","F-C","John Amaechi",2175000,11000000,1,3,2392500,4
"Utah Jazz","2002-03","Amaechi, John",4,"2003-04 (p)","F-C","John Amaechi",2392500,10000000,2,3,2392500,4
"Houston Rockets","2003-04","Amaechi, John",4,"2003-04 (p)","F-C","John Amaechi",2610000,10000000,3,3,2392500,4
"Utah Jazz","2001-02","Crotty, John",1,"2001-02","G","John Crotty",1000000,1000000,1,1,1000000,1
"Indiana Pacers","2004-05","Edwards, John",1,"2004-05","C","John Edwards",385277,385277,1,2,692638.5,1.5
"Atlanta Hawks","2005-06","Edwards, John",2,"2006-07","C","John Edwards",1000000,2080000,2,2,692638.5,1.5
"Houston Rockets","2006-07","Lucas III, John",3,"2008-09","G","John Lucas",700000,2297000,1,1,700000,3
"Washington Wizards","2004-05","Ramos, Peter John",3,"2006-07","C","John Ramos",600000,2000000,1,2,605000,3
"Washington Wizards","2005-06","Ramos, Peter John",3,"2007-08 (t)","C","John Ramos",610000,2000000,2,2,605000,3
"Philadelphia 76ers","2002-03","Salmons, John",4,"2004-05 (t)","G","John Salmons",670800,4250000,1,7,2606212,4.428571
"Philadelphia 76ers","2003-04","Salmons, John",4,"2005-06 (t)","G","John Salmons",721000,4250000,2,7,2606212,4.428571
"Philadelphia 76ers","2004-05","Salmons, John",4,"2005-06 (t)","G","John Salmons",925680,4250000,3,7,2606212,4.428571
"Philadelphia 76ers","2005-06","Salmons, John",4,"2005-06","F","John Salmons",1670000,4250000,4,7,2606212,4.428571
"Sacramento Kings","2006-07","Salmons, John",5,"2010-11","F","John Salmons",4400000,25500000,5,7,2606212,4.428571
"Sacramento Kings","2007-08","Salmons, John",5,"2010-11","G","John Salmons",4752000,25500000,6,7,2606212,4.428571
"Sacramento Kings","2008-09","Salmons, John",5,"2010-11","F-G","John Salmons",5104000,25500000,7,7,2606212,4.428571
"Utah Jazz","2001-02","Starks, John",2,"2001-02","G","John Starks",2475000,4730000,1,1,2475000,2
"Utah Jazz","2001-02","Stockton, John",2,"2002-03","G","John Stockton",8000000,14870000,1,2,7937500,2
"Utah Jazz","2002-03","Stockton, John",2,"2002-03","G","John Stockton",7875000,14870000,2,2,7937500,2
"Phoenix Suns","2001-02","Wallace, John",3,"2001-02","F","John Wallace",2630000,6600000,1,2,1721840,2
"Miami Heat","2003-04","Wallace, John",1,"2003-04","F","John Wallace",813679,813679,2,2,1721840,2
"Detroit Pistons","2001-02","Barry, Jon",3,"2002-03","G","Jon Barry",3175000,9000000,1,4,2787500,2
"Detroit Pistons","2002-03","Barry, Jon",3,"2002-03","G","Jon Barry",3175000,9000000,2,4,2787500,2
"Denver Nuggets","2003-04","Barry, Jon",1,"2003-04","G","Jon Barry",3000000,3000000,3,4,2787500,2
"Houston Rockets","2004-05","Barry, Jon",1,"2004-05","G","Jon Barry",1800000,1800000,4,4,2787500,2
"Dallas Mavericks","2003-04","Stefansson, Jon",1,"2003-04","G","Jon Stefansson",366931,366931,1,1,366931,1
"Indiana Pacers","2001-02","Bender, Jonathan",4,"2002-03","F","Jonathan Bender",2546760,10370000,1,4,4494626,5
"Indiana Pacers","2002-03","Bender, Jonathan",8,"2006-07","F","Jonathan Bender",3226745,36500000,2,4,4494626,5
"Indiana Pacers","2003-04","Bender, Jonathan",4,"2006-07","F","Jonathan Bender",5680000,27000000,3,4,4494626,5
"Indiana Pacers","2004-05","Bender, Jonathan",4,"2006-07","F","Jonathan Bender",6525000,27200000,4,4,4494626,5
"Los Angeles Lakers","2006-07","Farmar , Jordan",4,"2009-10 (t)","G","Jordan Farmar",939120,4976000,1,3,1009560,4
"Los Angeles Lakers","2007-08","Farmar , Jordan",4,"2009-10 (t)","PG","Jordan Farmar",1009560,4976000,2,3,1009560,4
"Los Angeles Lakers","2008-09","Farmar , Jordan",4,"2009-10 (t)","G","Jordan Farmar",1080000,4976000,3,3,1009560,4
"Toronto Raptors","2006-07","Garbajosa , Jorge",3,"2008-09","F","Jorge Garbajosa",3750000,12000000,1,3,3888889,3
"Toronto Raptors","2007-08","Garbajosa , Jorge",3,"2008-09","PF","Jorge Garbajosa",3666667,12000000,2,3,3888889,3
"Toronto Raptors","2008-09","Garbajosa , Jorge",3,"2008-09","F","Jorge Garbajosa",4250000,12000000,3,3,3888889,3
"Toronto Raptors","2005-06","Calderon, Jose",3,"2007-08","G","Jose Calderon",2190000,7128000,1,4,3469073,3.5
"Toronto Raptors","2006-07","Calderon, Jose",3,"2007-08","G","Jose Calderon",2333334,7128000,2,4,3469073,3.5
"Toronto Raptors","2007-08","Calderon, Jose",3,"2007-08","PF","Jose Calderon",2004938,7128000,3,4,3469073,3.5
"Toronto Raptors","2008-09","Calderon, Jose",5,"2012-13","G","Jose Calderon",7348018,40000000,4,4,3469073,3.5
"Los Angeles Lakers","2001-02","Crispin, Joseph",1,"2001-02","G","Joseph Crispin",332817,332817,1,1,332817,1
"Boston Celtics","2001-02","Forte, Joseph",4,"2004-05","G","Joseph Forte",939360,4750000,1,2,974640,4
"Seattle SuperSonics","2002-03","Forte, Joseph",4,"2003-04 (t)","G","Joseph Forte",1009920,4750000,2,2,974640,4
"New Jersey Nets","2006-07","Boone , Josh",4,"2009-10 (t)","F-C","Josh Boone",1053960,5456000,1,3,1133040,4
"New Jersey Nets","2007-08","Boone , Josh",4,"2009-10 (t)","PF","Josh Boone",1133040,5456000,2,3,1133040,4
"New Jersey Nets","2008-09","Boone , Josh",4,"2009-10 (t)","C","Josh Boone",1212120,5456000,3,3,1133040,4
"Atlanta Hawks","2004-05","Childress, Josh",4,"2007-08 (t)","G-F","Josh Childress",2490360,11600000,1,4,2870453,4
"Atlanta Hawks","2005-06","Childress, Josh",4,"2007-08 (t)","F-G","Josh Childress",2680000,11660000,2,4,2870453,4
"Atlanta Hawks","2006-07","Childress, Josh",4,"2007-08 (t)","G-F","Josh Childress",2680000,11661000,3,4,2870453,4
"Atlanta Hawks","2007-08","Childress, Josh",4,"2007-08 (t)","SF","Josh Childress",3631451,11661000,4,4,2870453,4
"Philadelphia 76ers","2004-05","Davis, Josh",1,"2004-05","F","Josh Davis",620046,620046,1,1,620046,1
"Dallas Mavericks","2003-04","Howard, Josh",4,"2006-07 (t)","F","Josh Howard",773440,4260000,1,6,3853927,4
"Dallas Mavericks","2004-05","Howard, Josh",4,"2006-07 (t)","F","Josh Howard",863640,4260000,2,6,3853927,4
"Dallas Mavericks","2005-06","Howard, Josh",4,"2006-07 (t)","F","Josh Howard",873880,4260000,3,6,3853927,4
"Dallas Mavericks","2006-07","Howard, Josh",4,"2010-11 (t)","F-G","Josh Howard",1667603,40000000,4,6,3853927,4
"Dallas Mavericks","2007-08","Howard, Josh",4,"2010-11 (t)","SF","Josh Howard",9000000,40000000,5,6,3853927,4
"Dallas Mavericks","2008-09","Howard, Josh",4,"2010-11 (t)","F-G","Josh Howard",9945000,40000000,6,6,3853927,4
"Portland Trail Blazers","2007-08","McRoberts, Josh",3,"2008-09","PF","Josh McRoberts",427163,1138680,1,2,569340,3
"Indiana Pacers","2008-09","McRoberts, Josh",3,"2008-09","F","Josh McRoberts",711517,1138680,2,2,569340,3
"Los Angeles Clippers","2003-04","Moore, Josh",1,"2003-04","C","Josh Moore",366931,366931,1,1,366931,1
"Dallas Mavericks","2005-06","Powell, Josh",2,"2006-07","F","Josh Powell",398762,1062971,1,4,699567.5,1.5
"Golden State Warriors","2006-07","Powell, Josh",2,"2006-07","F","Josh Powell",744551,1396000,2,4,699567.5,1.5
"Los Angeles Clippers","2007-08","Powell, Josh",1,"2007-08","PF","Josh Powell",800000,800000,3,4,699567.5,1.5
"Los Angeles Lakers","2008-09","Powell, Josh",1,"2007-08","F-C","Josh Powell",854957,800000,4,4,699567.5,1.5
"Atlanta Hawks","2004-05","Smith, Josh",4,"2007-08 (t)","F","Josh Smith",1270080,6340000,1,5,3267853,4.2
"Atlanta Hawks","2005-06","Smith, Josh",4,"2007-08 (t)","F","Josh Smith",1365000,6340000,2,5,3267853,4.2
"Atlanta Hawks","2006-07","Smith, Josh",4,"2007-08 (t)","F","Josh Smith",1460640,6340000,3,5,3267853,4.2
"Atlanta Hawks","2007-08","Smith, Josh",4,"2007-08 (t)","SG/SF","Josh Smith",2243543,6340000,4,5,3267853,4.2
"Atlanta Hawks","2008-09","Smith, Josh",5,"2012-13","F","Josh Smith",10000000,58000000,5,5,3267853,4.2
"Dallas Mavericks","2006-07","Barea , Jose Juan",1,"2006-07","G","Juan Barea",412718,412718,1,3,866724.7,1.666667
"Dallas Mavericks","2007-08","Barea , Jose Juan",1,"2007-08 (t)","PG","Juan Barea",687456,687456,2,3,866724.7,1.666667
"Dallas Mavericks","2008-09","Barea , Jose Juan",3,"2010-11","G","Juan Barea",1500000,5000000,3,3,866724.7,1.666667
"Washington Wizards","2002-03","Dixon, Juan",4,"2004-05 (t)","G","Juan Dixon",1172400,7580000,1,7,1731328,3.428571
"Washington Wizards","2003-04","Dixon, Juan",4,"2005-06","G","Juan Dixon",1050300,7580000,2,7,1731328,3.428571
"Washington Wizards","2004-05","Dixon, Juan",4,"2005-06 (t)","G","Juan Dixon",1348200,5850000,3,7,1731328,3.428571
"Portland Trail Blazers","2005-06","Dixon, Juan",3,"2007-08","G","Juan Dixon",2500000,8000000,4,7,1731328,3.428571
"Toronto Raptors","2006-07","Dixon, Juan",3,"2007-08","G","Juan Dixon",2550000,8000000,5,7,1731328,3.428571
"Toronto Raptors","2007-08","Dixon, Juan",3,"2007-08","G","Juan Dixon",2500000,8000000,6,7,1731328,3.428571
"Washington Wizards","2008-09","Dixon, Juan",3,"2007-08","G","Juan Dixon",998398,8000000,7,7,1731328,3.428571
"Houston Rockets","2002-03","Hawkins, Juaquin",1,"2002-03","G-F","Juaquin Hawkins",587435,587435,1,1,587435,1
"Phoenix Suns","2001-02","Buechler, Jud",3,"2002-03","G-F","Jud Buechler",3666667,11000000,1,1,3666667,3
"New Orleans Hornets","2007-08","Wright, Julian",5,"2011-12 (t)","SF","Julian Wright",1739160,9561453,1,2,1804380,5
"New Orleans Hornets","2008-09","Wright, Julian",5,"2011-12 (t)","F","Julian Wright",1869600,9561453,2,2,1804380,5
"Denver Nuggets","2005-06","Hodge, Julius",4,"2008-09 (t)","G","Julius Hodge",1150000,5741000,1,1,1150000,4
"Cleveland Cavaliers","2001-02","Jones, Jumaine",4,"2002-03","F","Jumaine Jones",786600,3620000,1,6,1366722,3
"Cleveland Cavaliers","2002-03","Jones, Jumaine",4,"2002-03 (t)","F","Jumaine Jones",1419026,3600000,2,6,1366722,3
"Boston Celtics","2003-04","Jones, Jumaine",3,"2005-06","F","Jumaine Jones",1500000,5060000,3,6,1366722,3
"Los Angeles Lakers","2004-05","Jones, Jumaine",3,"2005-06","F","Jumaine Jones",1687500,5060000,4,6,1366722,3
"Charlotte Bobcats","2005-06","Jones, Jumaine",3,"2005-06","F","Jumaine Jones",1875000,5000000,5,6,1366722,3
"Phoenix Suns","2006-07","Jones, Jumaine",1,"2006-07","F","Jumaine Jones",932205,932205,6,6,1366722,3
"Denver Nuggets","2002-03","Harrington, Junior",1,"2002-03","G","Junior Harrington",349458,349458,1,2,325729,1
"Memphis Grizzlies","2006-07","Harrington, Junior",1,"2006-07","G","Junior Harrington",302000,302000,2,2,325729,1
"Boston Celtics","2004-05","Reed, Justin",2,"2004-05 (t)","F","Justin Reed",385277,785000,1,3,775675,2.333333
"Minnesota Timberwolves","2005-06","Reed, Justin",2,"2005-06","F","Justin Reed",641748,1027000,2,3,775675,2.333333
"Minnesota Timberwolves","2006-07","Reed, Justin",3,"2008-09 (p)","F","Justin Reed",1300000,4500000,3,3,775675,2.333333
"Sacramento Kings","2006-07","Williams , Justin",1,"2006-07","F","Justin Williams",252486,252486,1,2,557471,1
"Sacramento Kings","2007-08","Williams , Justin",1,"2007-08","SF","Justin Williams",862456,862456,2,2,557471,1
"Dallas Mavericks","2001-02","Howard, Juwan",7,"2002-03","F","Juwan Howard",18750000,1.050e+08,1,8,9080815,6.125
"Denver Nuggets","2002-03","Howard, Juwan",7,"2002-03","F","Juwan Howard",20152000,1.050e+08,2,8,9080815,6.125
"Orlando Magic","2003-04","Howard, Juwan",5,"2007-08 (p)","F","Juwan Howard",4917000,34000000,3,8,9080815,6.125
"Houston Rockets","2004-05","Howard, Juwan",6,"2007-08 (p)","F","Juwan Howard",5408700,36900000,4,8,9080815,6.125
"Houston Rockets","2005-06","Howard, Juwan",6,"2007-08 (p)","F","Juwan Howard",5900000,36900000,5,8,9080815,6.125
"Houston Rockets","2006-07","Howard, Juwan",6,"2008-09 (p)","F","Juwan Howard",6392100,36900000,6,8,9080815,6.125
"Dallas Mavericks","2007-08","Howard, Juwan",6,"2008-09 (p)","PF","Juwan Howard",4840170,36900000,7,8,9080815,6.125
"Charlotte Bobcats","2008-09","Howard, Juwan",6,"2008-09 (p)","F","Juwan Howard",6286548,36900000,8,8,9080815,6.125
"Cleveland Cavaliers","2007-08","Dickens, Kaniel",1,"2007-08","F","Kaniel Dickens",45330,45330,1,1,45330,1
"Los Angeles Lakers","2002-03","Rush, Kareem",4,"2004-05 (t)","G","Kareem Rush",1021080,5100000,1,5,1012018,2.8
